project,repo_url,dependency_group_id,dependency_artifact_id,old_version,new_version,java_version,failure_category,pre_update_status,post_update_status,classification,pre_exit_code,post_exit_code,breaking_commit,parent_commit,pre_log,post_log,source_json
spring-boot-migrator,https://github.com/spring-projects-experimental/spring-boot-migrator.git,org.asciidoctor,asciidoctorj,2.5.6,2.5.7,11,,ERROR,ERROR,INVALID,,,039be85d1122f1ae78d25c7b466e9365d0ed560a,87698cf0cebe04f5aef0b7e0a6dd115de635be9e,,,039be85d1122f1ae78d25c7b466e9365d0ed560a.json
java-cloud-bom,https://github.com/googleapis/java-cloud-bom.git,com.google.cloud,google-cloud-asset-bom,3.0.1,3.1.0,11,,PASS,PASS,INVALID,0,0,039efcf9deea10b03c5586bba73fbfee70a7bee1,47cca93c93b9dc2ce60a4a2e53f7892e7d721147,person1\task2_logs\java-cloud-bom_039efcf9_pre.log,person1\task2_logs\java-cloud-bom_039efcf9_post.log,039efcf9deea10b03c5586bba73fbfee70a7bee1.json
spring-content-examples,https://github.com/paulcwarren/spring-content-examples.git,software.amazon.awssdk,netty-nio-client,2.18.38,2.20.27,11,,FAIL,FAIL,INVALID,1,1,039fe2b1219a1b121224787d2bc10e73ff71a1c7,ef2d38ae7779e8b7e15bed56260f02d8da8d1920,person1\task2_logs\spring-content-examples_039fe2b1_pre.log,person1\task2_logs\spring-content-examples_039fe2b1_post.log,039fe2b1219a1b121224787d2bc10e73ff71a1c7.json
conquery,https://github.com/ingef/conquery.git,org.apache.poi,poi-ooxml,5.0.0,5.2.2,11,,FAIL,FAIL,INVALID,1,1,03aa0678852eabaca997cff6a6458c2f93dec3d3,d251de997cf9e125f5a17891cae185fd8ca3774f,person1\task2_logs\conquery_03aa0678_pre.log,person1\task2_logs\conquery_03aa0678_post.log,03aa0678852eabaca997cff6a6458c2f93dec3d3.json
spring-content-gettingstarted,https://github.com/paulcwarren/spring-content-gettingstarted.git,com.github.paulcwarren,spring-versions-jpa-boot-starter,2.8.0,3.0.0,11,,FAIL,FAIL,INVALID,1,1,03bc06fe92c07256d7ef4e7789d8ff39c9ea287f,c1b50a98a64c531586a7003d57e22781d68f18db,person1\task2_logs\spring-content-gettingstarted_03bc06fe_pre.log,person1\task2_logs\spring-content-gettingstarted_03bc06fe_post.log,03bc06fe92c07256d7ef4e7789d8ff39c9ea287f.json
Ree6,https://github.com/Ree6-Applications/Ree6.git,com.github.DV8FromTheWorld,JDA,v5.0.0-beta.3,v5-personal_6,11,,FAIL,FAIL,INVALID,1,1,03d6fa78a1b3e86ac76a6211122e95932d028fbb,be2d94b32950af661ec31cb77658c0d47cc9a68a,person1\task2_logs\Ree6_03d6fa78_pre.log,person1\task2_logs\Ree6_03d6fa78_post.log,03d6fa78a1b3e86ac76a6211122e95932d028fbb.json
serviceloader-maven-plugin,https://github.com/francisdb/serviceloader-maven-plugin.git,org.apache.maven,maven-plugin-api,3.9.1,3.9.4,11,,PASS,PASS,SAFE,0,0,03db018e1860be52d4042d61751bb7f7418dab08,b640f3dfd4b1360e9d2b91991cfa5042fdac0222,person1\task2_logs\serviceloader-maven-plugin_03db018e_pre.log,person1\task2_logs\serviceloader-maven-plugin_03db018e_post.log,03db018e1860be52d4042d61751bb7f7418dab08.json
google-http-java-client,https://github.com/googleapis/google-http-java-client.git,com.google.http-client,google-http-client-protobuf,1.41.8-SNAPSHOT,1.41.8,11,,FAIL,FAIL,INVALID,1,1,03e386f73abef5a4510333246d1c928c6dc72b44,34e488de121a190059cb1ce3ff86e9e831b81f91,person1\task2_logs\google-http-java-client_03e386f7_pre.log,person1\task2_logs\google-http-java-client_03e386f7_post.log,03e386f73abef5a4510333246d1c928c6dc72b44.json
jax-rs2-guide-II,https://github.com/feuyeux/jax-rs2-guide-II.git,org.apache.tomcat.embed,tomcat-embed-core,8.5.75,8.5.78,11,,FAIL,FAIL,INVALID,1,1,03efa590f3f302cd3a4c6bc06e0189abde6ccf51,f89e654a94e3c4460ba99dd836abd70a76bce25e,person1\task2_logs\jax-rs2-guide-II_03efa590_pre.log,person1\task2_logs\jax-rs2-guide-II_03efa590_post.log,03efa590f3f302cd3a4c6bc06e0189abde6ccf51.json
chutney,https://github.com/chutney-testing/chutney.git,com.sun.istack,istack-commons-runtime,4.0.1,4.2.0,11,,ERROR,ERROR,INVALID,,,03f6bb743f6f77150bfd83e6c131d8a1be91db31,,,,03f6bb743f6f77150bfd83e6c131d8a1be91db31.json
blueocean-plugin,https://github.com/jenkinsci/blueocean-plugin.git,com.google.inject,guice,4.1.0,5.0.1,11,,ERROR,ERROR,INVALID,,,040a5979a549dc92ceebf9611f361b7d1e1e1587,239e00a4577564b37ac7bd1b7c90d25a71937c3f,,,040a5979a549dc92ceebf9611f361b7d1e1e1587.json
CloudExplorer-Lite,https://github.com/CloudExplorer-Dev/CloudExplorer-Lite.git,com.google.guava,guava,31.1-jre,32.0.0-jre,11,,ERROR,NOT_RUN,INVALID,1,,0417fdc8eba462a2fa4698b1070fc51ed8ad7767,22096dc3b02f542e77572f4b393d7ef8a8b35bea,person1\task2_logs\CloudExplorer-Lite_0417fdc8_pre.log,,0417fdc8eba462a2fa4698b1070fc51ed8ad7767.json
jcabi-xml,https://github.com/jcabi/jcabi-xml.git,xerces,xercesImpl,2.11.0,2.12.2,11,,FAIL,FAIL,INVALID,1,1,041ca3f608b7241c07606e3a70e59233e0e01020,f12f6db1f66d41c9e10a8f9d815b6f0fb38f6011,person1\task2_logs\jcabi-xml_041ca3f6_pre.log,person1\task2_logs\jcabi-xml_041ca3f6_post.log,041ca3f608b7241c07606e3a70e59233e0e01020.json
ORCID-Source,https://github.com/ORCID/ORCID-Source.git,org.apache.logging.log4j,log4j-core,2.14.1,2.15.0,11,,ERROR,ERROR,INVALID,,,041dfc35b6b2cfed821e18caa2427b0950ce0d85,f66ada963d431de30d5870700aba8a4b76fc4eb9,,,041dfc35b6b2cfed821e18caa2427b0950ce0d85.json
spring-content,https://github.com/paulcwarren/spring-content.git,software.amazon.awssdk,s3,2.17.289,2.19.12,11,,ERROR,NOT_RUN,INVALID,1,,0424e969b2b5f0df0f65d280e9456edef7050e4b,62af7b42fb5e7fbf7a4ab4f71415036c4948d040,person1\task2_logs\spring-content_0424e969_pre.log,,0424e969b2b5f0df0f65d280e9456edef7050e4b.json
bboxdb,https://github.com/jnidzwetzki/bboxdb.git,com.google.protobuf,protobuf-java,3.21.9,3.21.11,11,,TIMEOUT,NOT_RUN,INVALID,,,043144f53c077276e7bb8b0717ed3e007a066dc2,5485d05e83ef897180616a83aa3f7922b1267189,person1\task2_logs\bboxdb_043144f5_pre.log,,043144f53c077276e7bb8b0717ed3e007a066dc2.json
benchbase,https://github.com/cmu-db/benchbase.git,org.xerial,sqlite-jdbc,3.41.2.1,3.42.0.0,11,,ERROR,NOT_RUN,INVALID,1,,043ac94affb77e6563f687bbc98eb1af223c8afe,2095ac3e1984e951dfee09da452189bb64d92af5,person1\task2_logs\benchbase_043ac94a_pre.log,,043ac94affb77e6563f687bbc98eb1af223c8afe.json
sqlancer,https://github.com/sqlancer/sqlancer.git,org.codehaus.plexus,plexus-compiler-api,2.12.1,2.13.0,11,,FAIL,FAIL,INVALID,1,1,0440c7bcc6cfee582dc4e1d12bcbe3750a908d54,f6e7c608a5c42c1034ed71845d34931f8add826b,person1\task2_logs\sqlancer_0440c7bc_pre.log,person1\task2_logs\sqlancer_0440c7bc_post.log,0440c7bcc6cfee582dc4e1d12bcbe3750a908d54.json
ApkToolBoxGUI,https://github.com/jiangxincode/ApkToolBoxGUI.git,org.apache.logging.log4j,log4j-core,2.17.0,2.17.1,11,,FAIL,FAIL,INVALID,1,1,044f7d847f01efbdedd3f1b248b752265242dd41,8597dc9f28189f5634b8d849d735ab96cd85ce77,person1\task2_logs\ApkToolBoxGUI_044f7d84_pre.log,person1\task2_logs\ApkToolBoxGUI_044f7d84_post.log,044f7d847f01efbdedd3f1b248b752265242dd41.json
gax-java,https://github.com/googleapis/gax-java.git,com.google.protobuf,protobuf-bom,3.21.8,3.21.9,11,,FAIL,FAIL,INVALID,1,1,045712351aa92af944ffb222fd407c408dc0b924,816e6665e06bc65cbaf2703617342c8db9780115,person1\task2_logs\gax-java_04571235_pre.log,person1\task2_logs\gax-java_04571235_post.log,045712351aa92af944ffb222fd407c408dc0b924.json
avans,https://github.com/tokuhirom/avans.git,org.openjdk.jmh,jmh-core,1.17.4,1.35,11,,FAIL,FAIL,INVALID,1,1,045e466453746f8b7add6f3ab945870a00c15c15,7e44bf97a6098e8f7d0c7bd0c4e4fcf7975eb87c,person1\task2_logs\avans_045e4664_pre.log,person1\task2_logs\avans_045e4664_post.log,045e466453746f8b7add6f3ab945870a00c15c15.json
geotools,https://github.com/geotools/geotools.git,org.hsqldb,hsqldb,2.4.1,2.7.1,11,,ERROR,ERROR,INVALID,,,0468acbee828fa8288c9754487778794ae4bbf00,ebd5ea6499ae5dbe9f79e8721b97866b341315f7,,,0468acbee828fa8288c9754487778794ae4bbf00.json
